match_id,season_code,match_date,status,home_team_id,home_team_name,away_team_id,away_team_name,home_score,away_score
1,2025,"2025-09-18 19:00:00",completed,5,"Dragons FC",4,"Law FC",2,2
2,2025,"2025-09-18 19:15:00",completed,3,Galacticos,2,Santos,1,0
3,2025,"2025-09-18 19:30:00",completed,5,"Dragons FC",2,Santos,0,1
4,2025,"2025-09-18 19:45:00",completed,4,"Law FC",3,Galacticos,0,2
5,2025,"2025-09-18 20:00:00",completed,5,"Dragons FC",3,Galacticos,1,0
6,2025,"2025-09-18 20:15:00",completed,4,"Law FC",2,Santos,0,1
10,2025,"2025-09-25 19:00:00",completed,3,Galacticos,2,Santos,2,0
11,2025,"2025-09-25 19:16:00",completed,5,"Dragons FC",4,"Law FC",0,3
12,2025,"2025-09-25 19:32:00",completed,2,Santos,5,"Dragons FC",3,1
13,2025,"2025-09-25 19:48:00",completed,3,Galacticos,4,"Law FC",1,1
14,2025,"2025-09-25 20:04:00",completed,2,Santos,4,"Law FC",2,0
15,2025,"2025-09-25 20:20:00",completed,5,"Dragons FC",3,Galacticos,2,1
16,2025,"2025-10-02 19:00:00",completed,5,"Dragons FC",2,Santos,0,1
17,2025,"2025-10-02 19:15:00",completed,3,Galacticos,4,"Law FC",1,0
18,2025,"2025-10-02 19:30:00",completed,2,Santos,3,Galacticos,3,2
19,2025,"2025-10-02 19:45:00",completed,5,"Dragons FC",3,Galacticos,0,2
20,2025,"2025-10-02 20:00:00",completed,5,"Dragons FC",4,"Law FC",0,2
21,2025,"2025-10-02 20:15:00",completed,4,"Law FC",2,Santos,0,1
27,2025,"2025-10-09 17:15:00",completed,3,Galacticos,2,Santos,2,0
22,2025,"2025-10-09 19:00:00",completed,4,"Law FC",3,Galacticos,0,1
23,2025,"2025-10-09 19:15:00",completed,5,"Dragons FC",2,Santos,3,1
24,2025,"2025-10-09 19:30:00",completed,4,"Law FC",2,Santos,0,2
25,2025,"2025-10-09 19:45:00",completed,3,Galacticos,5,"Dragons FC",0,0
26,2025,"2025-10-09 20:00:00",completed,5,"Dragons FC",4,"Law FC",1,5
33,2025,"2025-10-16 17:15:00",completed,3,Galacticos,4,"Law FC",2,0
28,2025,"2025-10-16 19:00:00",completed,3,Galacticos,5,"Dragons FC",2,0
29,2025,"2025-10-16 19:15:00",completed,4,"Law FC",2,Santos,2,0
30,2025,"2025-10-16 19:30:00",completed,5,"Dragons FC",4,"Law FC",1,4
31,2025,"2025-10-16 19:45:00",completed,3,Galacticos,2,Santos,1,1
32,2025,"2025-10-16 20:00:00",completed,5,"Dragons FC",2,Santos,2,1
34,2025,"2025-10-23 19:00:00",completed,4,"Law FC",5,"Dragons FC",2,0
35,2025,"2025-10-23 19:15:00",completed,2,Santos,3,Galacticos,1,1
36,2025,"2025-10-23 19:30:00",completed,5,"Dragons FC",3,Galacticos,1,2
37,2025,"2025-10-23 19:45:00",completed,4,"Law FC",2,Santos,2,4
38,2025,"2025-10-23 20:00:00",completed,5,"Dragons FC",2,Santos,0,2
39,2025,"2025-10-23 20:15:00",completed,4,"Law FC",3,Galacticos,1,0
40,2025,"2025-10-30 19:00:00",completed,4,"Law FC",2,Santos,3,2
41,2025,"2025-10-30 19:15:00",completed,5,"Dragons FC",3,Galacticos,0,0
42,2025,"2025-10-30 19:30:00",completed,3,Galacticos,4,"Law FC",1,3
43,2025,"2025-10-30 19:45:00",completed,5,"Dragons FC",2,Santos,0,1
44,2025,"2025-10-30 20:00:00",completed,3,Galacticos,2,Santos,1,3
45,2025,"2025-10-30 20:15:00",completed,5,"Dragons FC",4,"Law FC",1,1
46,2025,"2025-11-06 19:00:00",completed,4,"Law FC",2,Santos,3,3
47,2025,"2025-11-06 19:15:00",completed,5,"Dragons FC",3,Galacticos,2,2
48,2025,"2025-11-06 19:30:00",completed,3,Galacticos,4,"Law FC",0,2
49,2025,"2025-11-06 19:45:00",completed,5,"Dragons FC",2,Santos,1,4
50,2025,"2025-11-06 20:00:00",completed,5,"Dragons FC",4,"Law FC",1,3
51,2025,"2025-11-06 20:15:00",completed,2,Santos,3,Galacticos,0,2
52,2025,"2025-11-13 19:00:00",completed,4,"Law FC",2,Santos,1,1
53,2025,"2025-11-13 19:15:00",completed,5,"Dragons FC",3,Galacticos,0,1
54,2025,"2025-11-13 19:30:00",completed,3,Galacticos,4,"Law FC",4,1
55,2025,"2025-11-13 19:45:00",completed,5,"Dragons FC",2,Santos,0,1
56,2025,"2025-11-13 20:00:00",completed,5,"Dragons FC",4,"Law FC",1,1
57,2025,"2025-11-13 20:15:00",completed,3,Galacticos,2,Santos,1,0
58,2025,"2025-11-20 19:00:00",completed,5,"Dragons FC",2,Santos,1,3
59,2025,"2025-11-20 19:15:00",completed,4,"Law FC",3,Galacticos,2,1
60,2025,"2025-11-20 19:30:00",completed,3,Galacticos,5,"Dragons FC",3,0
61,2025,"2025-11-20 19:45:00",completed,2,Santos,4,"Law FC",3,1
62,2025,"2025-11-20 20:00:00",completed,3,Galacticos,2,Santos,1,1
63,2025,"2025-11-20 20:15:00",completed,4,"Law FC",5,"Dragons FC",2,1
66,2025,"2025-11-27 19:00:00",completed,4,"Law FC",2,Santos,4,1
67,2025,"2025-11-27 19:15:00",completed,3,Galacticos,5,"Dragons FC",1,1
69,2025,"2025-11-27 19:45:00",completed,5,"Dragons FC",2,Santos,1,6
70,2025,"2025-11-27 20:00:00",completed,5,"Dragons FC",4,"Law FC",2,2
72,2025,"2025-11-27 20:00:00",completed,3,Galacticos,4,"Law FC",1,2
71,2025,"2025-11-27 20:15:00",completed,2,Santos,3,Galacticos,1,0
84,2026,"2026-02-05 18:02:00",completed,4,"Law FC",7,TUPE9ers,2,2
78,2026,"2026-02-05 19:35:00",completed,8,"Fut Champs",7,TUPE9ers,2,0
79,2026,"2026-02-05 19:49:30",completed,3,Galacticos,7,TUPE9ers,1,1
80,2026,"2026-02-05 20:04:00",completed,6,"Mamba fc",7,TUPE9ers,0,1
87,2026,"2026-02-05 21:45:30",completed,3,Galacticos,4,"Law FC",2,1
82,2026,"2026-02-12 19:00:00",completed,8,"Fut Champs",3,Galacticos,0,1
83,2026,"2026-02-12 19:11:00",completed,8,"Fut Champs",4,"Law FC",0,0
89,2026,"2026-02-12 19:34:48",completed,4,"Law FC",7,TUPE9ers,1,1
98,2026,"2026-02-19 19:00:00",completed,3,Galacticos,8,"Fut Champs",1,0
99,2026,"2026-02-19 19:15:00",completed,4,"Law FC",6,"Mamba fc",0,1
100,2026,"2026-02-19 19:30:00",completed,3,Galacticos,7,TUPE9ers,1,1
101,2026,"2026-02-19 19:45:00",completed,8,"Fut Champs",6,"Mamba fc",0,1
102,2026,"2026-02-19 20:00:00",completed,8,"Fut Champs",7,TUPE9ers,0,0
103,2026,"2026-02-19 20:15:00",completed,3,Galacticos,4,"Law FC",1,0
104,2026,"2026-02-19 20:30:00",completed,6,"Mamba fc",7,TUPE9ers,0,0
105,2026,"2026-02-19 20:45:00",completed,8,"Fut Champs",4,"Law FC",0,1
106,2026,"2026-02-19 21:00:00",completed,3,Galacticos,6,"Mamba fc",1,0
107,2026,"2026-02-26 19:00:00",completed,4,"Law FC",7,TUPE9ers,1,0
108,2026,"2026-02-26 19:11:00",completed,3,Galacticos,6,"Mamba fc",1,0
109,2026,"2026-02-26 19:24:00",completed,8,"Fut Champs",7,TUPE9ers,1,0
110,2026,"2026-02-26 19:37:00",completed,4,"Law FC",3,Galacticos,0,1
111,2026,"2026-02-26 19:50:00",completed,8,"Fut Champs",6,"Mamba fc",0,0
112,2026,"2026-02-26 20:03:00",completed,7,TUPE9ers,4,"Law FC",0,1
113,2026,"2026-02-26 20:16:00",completed,3,Galacticos,8,"Fut Champs",2,1
114,2026,"2026-02-26 20:29:00",completed,6,"Mamba fc",7,TUPE9ers,0,2
115,2026,"2026-02-26 20:42:00",completed,4,"Law FC",8,"Fut Champs",1,0
116,2026,"2026-02-26 20:55:00",completed,3,Galacticos,7,TUPE9ers,0,0
117,2026,"2026-02-26 21:08:00",completed,6,"Mamba fc",4,"Law FC",1,3
138,2026,"2026-03-05 19:00:00",completed,8,"Fut Champs",6,"Mamba fc",1,3
139,2026,"2026-03-05 19:15:00",completed,4,"Law FC",3,Galacticos,1,0
140,2026,"2026-03-05 19:30:00",completed,7,TUPE9ers,6,"Mamba fc",1,1
141,2026,"2026-03-05 19:45:00",completed,8,"Fut Champs",4,"Law FC",0,2
142,2026,"2026-03-05 20:00:00",completed,3,Galacticos,7,TUPE9ers,1,1
143,2026,"2026-03-05 20:15:00",completed,6,"Mamba fc",4,"Law FC",1,0
144,2026,"2026-03-05 20:30:00",completed,8,"Fut Champs",7,TUPE9ers,1,3
145,2026,"2026-03-05 20:45:00",completed,3,Galacticos,6,"Mamba fc",0,0
146,2026,"2026-03-05 21:00:00",completed,4,"Law FC",7,TUPE9ers,0,0
147,2026,"2026-03-05 21:15:00",completed,3,Galacticos,8,"Fut Champs",3,0
148,2026,"2026-03-12 19:00:00",completed,6,"Mamba fc",7,TUPE9ers,0,0
149,2026,"2026-03-12 19:15:00",completed,3,Galacticos,8,"Fut Champs",0,0
150,2026,"2026-03-12 19:30:00",completed,6,"Mamba fc",4,"Law FC",1,2
151,2026,"2026-03-12 19:45:00",completed,3,Galacticos,7,TUPE9ers,1,0
152,2026,"2026-03-12 20:00:00",completed,8,"Fut Champs",4,"Law FC",0,0
153,2026,"2026-03-12 20:15:00",completed,6,"Mamba fc",3,Galacticos,1,0
154,2026,"2026-03-12 20:30:00",completed,8,"Fut Champs",7,TUPE9ers,0,1
155,2026,"2026-03-12 20:45:00",completed,3,Galacticos,4,"Law FC",1,2
156,2026,"2026-03-12 21:00:00",completed,6,"Mamba fc",8,"Fut Champs",1,0
157,2026,"2026-03-12 21:15:00",completed,4,"Law FC",7,TUPE9ers,0,3
158,2026,"2026-03-26 19:00:00",completed,8,"Fut Champs",4,"Law FC",1,1
159,2026,"2026-03-26 19:15:00",completed,6,"Mamba fc",7,TUPE9ers,0,0
160,2026,"2026-03-26 19:30:00",completed,3,Galacticos,4,"Law FC",0,1
161,2026,"2026-03-26 19:45:00",completed,8,"Fut Champs",7,TUPE9ers,0,1
162,2026,"2026-03-26 20:00:00",completed,6,"Mamba fc",3,Galacticos,0,0
163,2026,"2026-03-26 20:15:00",completed,7,TUPE9ers,4,"Law FC",2,1
164,2026,"2026-03-26 20:30:00",completed,6,"Mamba fc",8,"Fut Champs",1,1
165,2026,"2026-03-26 20:45:00",completed,3,Galacticos,7,TUPE9ers,1,0
166,2026,"2026-03-26 21:00:00",completed,6,"Mamba fc",4,"Law FC",1,0
167,2026,"2026-03-26 21:15:00",completed,3,Galacticos,8,"Fut Champs",0,0
176,2026,"2026-03-28 15:00:00",completed,8,"Fut Champs",4,"Law FC",0,2
168,2026,"2026-03-28 16:00:00",completed,3,Galacticos,7,TUPE9ers,0,0
169,2026,"2026-03-28 16:15:00",completed,6,"Mamba fc",4,"Law FC",0,2
170,2026,"2026-03-28 16:30:00",completed,8,"Fut Champs",7,TUPE9ers,0,1
171,2026,"2026-03-28 16:45:00",completed,3,Galacticos,4,"Law FC",2,1
172,2026,"2026-03-28 17:00:00",completed,6,"Mamba fc",8,"Fut Champs",3,0
173,2026,"2026-03-28 17:15:00",completed,7,TUPE9ers,4,"Law FC",2,2
174,2026,"2026-03-28 17:30:00",completed,3,Galacticos,8,"Fut Champs",4,0
175,2026,"2026-03-28 17:45:00",completed,6,"Mamba fc",7,TUPE9ers,0,0
177,2026,"2026-03-28 18:15:00",completed,3,Galacticos,6,"Mamba fc",0,2
